Titel in Originalschrift,Titel,Person/Institution,Weitere Beteiligte,Verantwort.angabe,Quelle,Werktitel,Ort/Verlag,Jahr/Datierung,Weitere Angaben,Umfang/Illustr./Format,Verknüpfte Titel,Sprache,Jahr/Datierung,Weitere Titel,Ausgabe,Schlagwörter,Regensburger Verbundklassifikation,Basisklassifikation,Ordnungsgruppe,ISBN/ISSN/ISMN,Beschreibung,Einzelbände/Artikel,Linksammlung,Standort,Signaturen,Zum Inhalt,Incipit/Explicit,lds49,Univ. Angaben,Signatur/Inv-Nr. etc.,Bestandsangabe,Verfügbarkeit,Unselbst. Werk / Artikel,Bandangaben,Benutzungsrechte,Hinweis,Vorgänger/Nachfolger etc.,Zitierlink,Zitierlink,Permalink
,Rok trzydziesty,"Bachmann, Ingeborg [VerfasserIn] ","Jachimczak, Krzysztof [ÜbersetzerIn] ",Ingeborg Bachmann. Przeł. Krzysztof Jachimczuk,,Das dreißigste Jahr,Kraków : Wydawn. Literackie,1994,,170 S.,,Polnisch,,,Wyd. 1.,,,,,ISBN: 8308025757,,,,,,,,,,1436292-B NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC01096801,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21337795520003338&context=L&vid=ONB&lang=de_DE
,Il trentesimo anno,"Bachmann, Ingeborg [VerfasserIn] ","Olivetti, Magda [ÜbersetzerIn] ",Ingeborg Bachmann. [Trad. di Magda Olivetti],,Das dreißigste Jahr,Milano : Adelphi Ed.,1985,,195 S.,,Italienisch,,Gesamttitel: Fabula 2,,,,,,,,,,,,,,,,1250718-B.2 NEU PER,,,,,,,,,http://data.onb.ac.at/rec/AC01497601,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21339461160003338&context=L&vid=ONB&lang=de_DE
,"Ny tenkning, nytt språk","Bachmann, Ingeborg [VerfasserIn] ","Dahl, Sverre [ÜbersetzerIn] ",Ingeborg Bachmann. Overs. av Sverre Dahl,,Frankfurter Vorlesungen,Oslo : Pax,1996,,101 S.,,Norwegisch,,,,,,,,ISBN: 8253017790,Literaturverz. S. 101 - [102],,,,,,,,,1461143-B NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC01481089,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21339464900003338&context=L&vid=ONB&lang=de_DE
,Die Gedichte,"Bachmann, Ingeborg [VerfasserIn] ","Hauschild, Vera ",Ingeborg Bachmann. Nachw. v. Vera Hauschild,,,Leipzig : Insel-Verl.,1980,,182 S.; 8°,,Deutsch,,Gesamttitel: Insel-Bücherei 1037,1. Aufl..,,,,,,,,,,,,,,,508637-B.1037 NEU PER,,,,,,,,,http://data.onb.ac.at/rec/AC11100160,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21218163160003338&context=L&vid=ONB&lang=de_DE
,Odroceny cas : Vyber z tvorby,"Bachmann, Ingeborg [VerfasserIn] ","Strasser, Jan [ÜbersetzerIn] ;Zajac, Peter [ÜbersetzerIn] ",Ingeborg Bachmannova. Verse prel. Jan Strasser v jazykovej spolupraci s Petrom Zajacom,,,"Bratislava : Slovensky Spisovatel'",1986,,547 S.; 8°,,Slowakisch,,Gesamttitel:  Edicia Vavrin,,,,,,,Anmerkungen:  [Teils. Slowak.] ; [Die gestundete Zeit] ,,,,,,,,,1265795-B NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC11100115,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21218163940003338&context=L&vid=ONB&lang=de_DE
,Tři cesty k jezeru,"Bachmann, Ingeborg [VerfasserIn] ","Žantovská, Hana [ÜbersetzerIn] ",Ingeborg Bachmannová. [... přeložili Hana Žantovská a Josef Čermák],,,Praha : Academia,2000,,340 S.,,Tschechisch,,Gesamttitel: Edice Scarabeus 25,Vyd. 1.,,,,,ISBN: 8020008268,,,,,,,,,,1553308-B.25 NEU PER,,,,,,,,,http://data.onb.ac.at/rec/AC03146202,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21350939630003338&context=L&vid=ONB&lang=de_DE
,"Senki, rozi, senki","Bachmann, Ingeborg [VerfasserIn] ","Filkova, Fedja [ÜbersetzerIn] ",Ingeborg Bachman. Podbrala in prev. ot nemski Fedja Filkova,,,Sofija : Zlatostruj,1996,,60 S.,,Bulgarisch,,Gesamttitel:  Poezija na dvajseti vek,1. izd..,,,,,ISBN: 9548158299,,,,,,,,,,1477787-B NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC01714537,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21335271380003338&context=L&vid=ONB&lang=de_DE
,Voistinu : stichi,"Bachmann, Ingeborg [VerfasserIn] ","Sokolova, E. [HerausgeberIn] ","Ingeborg Bachman. Vstupitel'naja stat'ja, sost. i kommentarii E. Sokolovoj",,,Moskva : Izdat. Nezavisimaja Gazeta,2000,,173 S.,,Russisch;Deutsch,,"Gesamttitel:  Serija ""Poėzija""",,,,,,,Text dt. u. russ.;Anmerkungen:  Bibliogr. I. Bachmann u. Literaturverz. S. 173 - [174] ,,,,,,,,,1623693-B NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC03224950,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21345864030003338&context=L&vid=ONB&lang=de_DE
,Wir müssen wahre Sätze finden : Gespräche u. Interviews,"Bachmann, Ingeborg [VerfasserIn] ","Koschel, Christine [HerausgeberIn] ",Ingeborg Bachmann. Hrsg. von Christine Koschel u. Inge von Weidenbaum,,,München [u.a.] : Piper,1983,,164 S.; 21 cm,,Deutsch,,,2. Aufl..,"Bachmann, Ingeborg, 1926-1973;Interview",GN 2947,17.97 - Texte eines einzelnen Autors;18.10 - Deutsche Literatur,,ISBN: 3492027245,,,,,,,,,,1310834-B NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC01494806,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21339331790003338&context=L&vid=ONB&lang=de_DE
,"Choreographien der Differenz : Ingeborg Bachmanns Prosaband ""Simultan""","Dusar, Ingeborg [VerfasserIn] ;Bachmann, Ingeborg [VerfasserIn] ",,Ingeborg Dusar,,,Köln : Wien [u.a.] : Böhlau,1994,,317 S.; 23 cm,,Deutsch,,Gesamttitel: Literatur - Kultur - Geschlecht : Große Reihe 4,,"Bachmann, Ingeborg Simultan -- Automatisch aus GBV_2011-10 2012-05-21;Bachmann, Ingeborg, 1926-1973, Simultan;Zusammenstellung;Erzählung",GN 2949,17.87 - Besondere Literaturkategorien;17.81 - Epik. Prosa;18.10 - Deutsche Literatur,,ISBN: 3412132934,"Normierter Titel:  Bachmann, Ingeborg Simultan ",,,,,,,,"Zugl.: Antwerpen, Univ., Diss.","1385793-B.Große Reihe,4 NEU PER",,,,,,,,,http://data.onb.ac.at/rec/AC00932043,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21337045310003338&context=L&vid=ONB&lang=de_DE
