Titel in Originalschrift,Titel,Person/Institution,Weitere Beteiligte,Verantwort.angabe,Quelle,Werktitel,Ort/Verlag,Jahr/Datierung,Weitere Angaben,Umfang/Illustr./Format,Verknüpfte Titel,Sprache,Jahr/Datierung,Weitere Titel,Ausgabe,Schlagwörter,Regensburger Verbundklassifikation,Basisklassifikation,Ordnungsgruppe,ISBN/ISSN/ISMN,Beschreibung,Einzelbände/Artikel,Linksammlung,Standort,Signaturen,Zum Inhalt,Incipit/Explicit,lds49,Univ. Angaben,Signatur/Inv-Nr. etc.,Bestandsangabe,Verfügbarkeit,Unselbst. Werk / Artikel,Bandangaben,Benutzungsrechte,Hinweis,Vorgänger/Nachfolger etc.,Zitierlink,Zitierlink,Permalink
,Bütün şiirleri,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ","Cemal, Ahmet, 1942-2017 [ÜbersetzerIn] ",Ingeborg Bachmann. Ahmet Cemal,,,İstanbul : Kavram,1995,,200 S.,,Türkisch,,Gesamttitel: Kavram yayınları ; 61 : K avram yeryüzü şairleri 6,1. baskı.,,,,,,,,,,,,,,,"1437165-B.61 NEU PER;1,437.165-B.Per.61; 68; 73 NEU",,,,,,,,,http://data.onb.ac.at/rec/AC01107420,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21337780740003338&context=L&vid=ONB&lang=de_DE
,"Österreichische Lyrik: Ingeborg Bachmann, eine Auswahl : = Avstrijskaja lirika: Ingeborg Bachman, Izbrannye stranicy","Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ","Odincova, Svetlana Salimovna [ÜbersetzerIn] ",Svetlana Odinzova,,,Lipeck : Lipeckij gosudarstvennyj pedagogičeskij universitet,2013,,75 Seiten; 21 cm,,Deutsch;Russisch,,,,Anthologie ; Lyrik,,,,,Teilweise kyrillisch,,,,,,,,,NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC15420769,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21455529940003338&context=L&vid=ONB&lang=de_DE
,Kriegstagebuch : mit Briefen von Jack Hamesh an Ingeborg Bachmann,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ","Hamesh, Jack, 1920- [MitwirkendeR] ;Höller, Hans, 1947- [HerausgeberIn] ",Ingeborg Bachmann. Hrsg. u. mit einem Nachw. von Hans Höller,,,Berlin : Suhrkamp,2011,,112 S.; 19 cm,,Deutsch,,Gesamttitel: Suhrkamp-Taschenbuch 4243,1. Aufl..,"Bachmann, Ingeborg, 1926-1973;Tagebuch 1944-1945;Bachmann, Ingeborg, 1926-1973;Briefsammlung 1946-1947",GN 2947,18.10 - Deutsche Literatur;17.97 - Texte eines einzelnen Autors,,ISBN: 9783518462430,,,,,,,,,,1952710-B NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC08533422,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21327172320003338&context=L&vid=ONB&lang=de_DE
,Krigsdagbog : med breve fra Jack Hamesh til Ingeborg Bachmann,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ;Hamesh, Jack, 1920- [VerfasserIn] ","Preis, Judyta, 1982- [ÜbersetzerIn] ;Monrad, Jørgen Herman, 1963- [ÜbersetzerIn] ;Höller, Hans, 1947- ",Ingeborg Bachmann ; oversat af Judyta Preis og Jørgen Herman Monrad ; efterord og redaktionel kommentar ved Hans Höller,,Kriegstagebuch,[København] : Grif,[2022],,105 Seiten; 22 cm,,Dänisch,,,"1. udgave, 1. oplag.","Tagebuch, 1944-1945 ; Briefsammlung, 1946-1947;Bachmann, Ingeborg, 1926-1973",,17.97 - Texte eines einzelnen Autors;18.10 - Deutsche Literatur,,ISBN: 9788793980723,,,,,,,,,,2235485-B NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC16860453,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21508092630003338&context=L&vid=ONB&lang=de_DE
,Vor den Linien der Wirklichkeit : Radioessays,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ",,Ingeborg Bachmann,,,München [u.a.] : Piper,1993,,119 S.; 19 cm,,Deutsch,,Gesamttitel: Serie Piper 1747,Neuausg..,"Musil, Robert, 1880-1942;Wittgenstein, Ludwig, 1889-1951;Philosophie;Weil, Simone, 1909-1943;Proust, Marcel, 1871-1922",GN 2947,18.10 - Deutsche Literatur;17.97 - Texte eines einzelnen Autors,,ISBN: 3492117473,,,,,,,,,,1066899-B.1747 NEU PER,,,,,,,,,http://data.onb.ac.at/rec/AC00680178,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21355685860003338&context=L&vid=ONB&lang=de_DE
,"Le dicible et l'indicible : essais radiophoniques : Robert Musil, Ludwig Wittgenstein, Simone W4eil, Marcel Proust ; traduction & postface Michèle Cohen-Halimi","Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ","Cohen-Halimi, Michèle, 1963- [ÜbersetzerIn] ",Ingeborg Bachmann,,Radio-Essays,Paris : Ypsilon Éditeur,2016,,128 Seiten,,Französisch,,,,"Musil, Robert, 1880-1942;Wittgenstein, Ludwig, 1889-1951;Philosophie;Weil, Simone, 1909-1943;Proust, Marcel, 1871-1922",,08.24 - Neue westliche Philosophie;18.23 - Französische Literatur;18.10 - Deutsche Literatur,,ISBN: 9782356540669,,,,,,,,,,2078829-B NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC13222085,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21299628010003338&context=L&vid=ONB&lang=de_DE
,"""Todesarten""-Projekt : kritische Ausgabe : 1 : Todesarten, ein Ort für Zufälle, Wüstenbuch, Requiem für Fanny Goldmann, Goldmann/Rottwitz-Roman und andere Texte","Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ","Göttsche, Dirk, 1955- [HerausgeberIn] ;Albrecht, Monika [HerausgeberIn] ",Ingeborg Bachmann ; bearbeitet von Monika Albrecht und Dirk Göttsche,,,München : Zürich : Piper,1995,,"727 S.; Ill., graph. Darst.",,Deutsch,,,,,GN 2947,18.10 - Deutsche Literatur;17.97 - Texte eines einzelnen Autors,,ISBN: 3492049915,"Angaben zum Inhalt:  Ein Ort für Zufälle, Wüstenbuch, Requiem für Fanny Goldmann, Goldmann/Rottwitz-Roman",,,,,,,,,1449392-B.1 NEU MAG;1449388-B.1 HAN MAG;1449390-B.1 HAN MAG;2239409-B.1 LIT MAG,,,,,,,,,http://data.onb.ac.at/rec/AC01264276,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21338637010003338&context=L&vid=ONB&lang=de_DE
,War diary : with letters from Jack Hamesh,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ","Hamesh, Jack, 1920- [MitwirkendeR] ;Höller, Hans, 1947- [HerausgeberIn] ","Ingeborg Bachmann. Ed., with an afterword, by Hans Höller. Transl. by Mike Mitchell",,Kriegstagebuch,London [u.a.] : Seagull Books,2011,,"VII, 108 S.; 19 cm",,Englisch,,Gesamttitel:  The German list,1. publ..,"Bachmann, Ingeborg, 1926-1973;Tagebuch 1944-1945;Bachmann, Ingeborg, 1926-1973;Briefsammlung 1946-1947",,17.97 - Texte eines einzelnen Autors;18.10 - Deutsche Literatur,,ISBN: 9780857420084,,,,,,,,,,1963923-B NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC08719216,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21328338050003338&context=L&vid=ONB&lang=de_DE
,Malina,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ","Bessa, Carla, 1967- [ÜbersetzerIn] ",Ingeborg Bachmann ; tradução Carla Bessa,,Malina,São Paulo : Estação Liberdade,[2025],,347 Seiten; 21 cm,,Portugiesisch,,,1. ed..,Fiktionale Darstellung ; Roman;Frau;Ich-Auflösung,,18.10 - Deutsche Literatur;17.97 - Texte eines einzelnen Autors,,ISBN: 9786586068016,,,,,,,,,,2299042-B NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC17770509,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21544474370003338&context=L&vid=ONB&lang=de_DE
,Málina : [roman],"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ","Cybenko, Larysa, 1957- [ÜbersetzerIn] ",Ingeborg Bachman. Pereklad z nim. Larysy Cybenko,,Malina,"L'viv : VNTL-Klasyka",2003,,303 S.,,Ukrainisch,,Gesamttitel:  Klasyka,,Roman,,,,ISBN: 9667493431,,,,,,,,,,1744924-B NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC04261041,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21358485800003338&context=L&vid=ONB&lang=de_DE
,Malina : Roman,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ",,Ingeborg Bachmann,,,Berlin : Suhrkamp Verlag,2016,,"355 Seiten; 18 cm, 319 g",,Deutsch,,Gesamttitel: Bibliothek Suhrkamp 534,Erste Auflage.,Fiktionale Darstellung ; Roman;Deutsch;Frau;Ich-Auflösung;Frau;Ich-Auflösung;Belletristische Darstellung,,17.97 - Texte eines einzelnen Autors;18.10 - Deutsche Literatur,,ISBN: 9783518240175; ISBN: 351824017X,,,,,,,,,,2095351-B NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC13480522,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21305127710003338&context=L&vid=ONB&lang=de_DE
,Malina,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ","Jacobsenová, Michaela, 1947- [ÜbersetzerIn] ",Ingeborg Bachmannová ; přeložila Michaela Jacobsenová,,Malina,Zblov : Opus,[2017],,245 Seiten; Notenbeispiele; 20 cm,,Tschechisch,,Gesamttitel: Edice Opus 59. svazek,V této podobě vydání první.,Fiktionale Darstellung ; Roman;Deutsch o;Tschechisch ü;Frau;Ich-Auflösung,,17.97 - Texte eines einzelnen Autors;18.10 - Deutsche Literatur,,ISBN: 9788087048511,"Anmerkungen:  Lizenz des Verlag Suhrkamp, Berlin ",,,,,,,,,2118110-B NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC15066325,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21397269060003338&context=L&vid=ONB&lang=de_DE
,Synchron : = Simultan,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ","Kamʹjanecʹ, Volodymyr Mykytovyč, 1966- [ÜbersetzerIn] ",Ingeborg Bachman ; z nimecʹkoï pereklav Volodymyr Kamʹjanecʹ,,Simultan,Černivci : Knyhy - XXI,2016,,200 Seiten,,Ukrainisch,,,,Anthologie ; Erzählung;Deutsch o;Ukrainisch ü,,17.97 - Texte eines einzelnen Autors;18.10 - Deutsche Literatur,,ISBN: 9786176141273,"Normierter Titel:  Bachmann, Ingeborg 1926-1973 Simultan ;Normierter Titel:  Bachmann, Ingeborg Probleme Probleme ;Normierter Titel:  Bachmann, Ingeborg Ihr glücklichen Augen ;Normierter Titel:  Bachmann, Ingeborg 1926-1973 Das Gebell ;Normierter Titel:  Bachmann, Ingeborg 1926-1973 Drei Wege zum See ;Synchron. Problemy, problemy. Zdavalosja harne / Ščaslyvym očam. Havkit. Try dorohy do ozera",,,,,,,,,2079213-B NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC13281596,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21301756100003338&context=L&vid=ONB&lang=de_DE
,Zimowltan : patmvack̕ner = Simultan,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ","Ginoyan, Gayane [ÜbersetzerIn] ",Ingeborg Baxman ; germanerenic̕ t̕argmanec̕ Gayane Ginoyan,,Simultan,Erevan : Zangak Hratarakč̕owt̕yown,2015,,278 Seiten; 21 cm,,Armenisch,,Gesamttitel:  Ašxarhẹ hayerenov,,Fiktionale Darstellung ; Erzählende Literatur ; Roman;Deutsch o;Armenisch ü,,17.97 - Texte eines einzelnen Autors;18.10 - Deutsche Literatur,,ISBN: 9789939684024; ISBN: 9939684029,Text Armenisch,,,,,,,,,2122560-B NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC15088166,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21398197480003338&context=L&vid=ONB&lang=de_DE
,Franzas bog,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ","Skovmand, Thomas Aagaard, 1972- [ÜbersetzerIn] ",Ingeborg Bachmann ; oversat og med en note af Thomas Skovmand,,Der Fall Franza,København : Forlaget Sidste Århundrede,2022,,197 Seiten; 17 cm,,Dänisch,,,Dansk udgave.,Fiktionale Darstellung ; Roman;Psychiater;Psychische Krise;Ehefrau,,18.10 - Deutsche Literatur;17.97 - Texte eines einzelnen Autors,,ISBN: 9788794025669,,,,,,,,,,2235339-A NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC16854908,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21508098950003338&context=L&vid=ONB&lang=de_DE
,Wir müssen wahre Sätze finden : Gespräche in Rom und anderswo,"Bachmann, Ingeborg, 1926-1973 [InterviewteR] ",,Ingeborg Bachmann,,,Zürich : Kampa,[2025],,105 Seiten; 21 cm,,Deutsch,,Gesamttitel:  Kampa Salon,,"Bachmann, Ingeborg ; Interview;Bachmann, Ingeborg, 1926-1973;Rom",,17.73 - Literaturtheorie: Allgemeines;18.10 - Deutsche Literatur,,ISBN: 9783311140559,,,,,,,,,,2285550-B LIT MAG,,,,,,,,,http://data.onb.ac.at/rec/AC17621693,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21538442280003338&context=L&vid=ONB&lang=de_DE
,Ein Ort für Zufälle,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ","Wörgötter, Martina, 1981- [HerausgeberIn]. [KommentarverfasserIn] ;Höller, Hans, 1947- [VerfasserIn eines Vorworts] ",Ingeborg Bachmann ; herausgegeben von Martina Wörgötter ; mit einem Vorwort von Hans Höller,,Ein Ort für Zufälle,München : Piper;Berlin : Suhrkamp,2025,,"190 Seiten; Illustrationen, Faksimiles; 20 cm",,Deutsch,,Gesamttitel:  Werke und Briefe / Ingeborg Bachmann,"Erste Auflage, Originalausgabe.","Bachmann, Ingeborg ; Erzählende Literatur: Gegenwartsliteratur ab 1945 ; Fiktionale Darstellung ; Kommentar;Berlin;Prosa",GN 2946,18.10 - Deutsche Literatur;17.97 - Texte eines einzelnen Autors,,ISBN: 9783518431863; ISBN: 3518431862,"Anmerkungen:  Am Buchrücken: ""Werke"" ;Anmerkungen:  Literaturverzeichnis: Seite 163-[174] ",,,,,,,,,2277041-B LIT MAG;2282855-B NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC17398714,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21530810180003338&context=L&vid=ONB&lang=de_DE
,Malina : Roman,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ",,Ingeborg Bachmann,,,Frankfurt am Main : Suhrkamp,1971,,355 Seiten; Notenbeispiele; 20 cm,,Deutsch,,,Erste Auflage.,Fiktionale Darstellung;Liebe;Belletristische Darstellung,,,,,,,,,,,,,,1081511-B NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC01131084,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21218161860003338&context=L&vid=ONB&lang=de_DE
,Malina : Roman,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ",,Ingeborg Bachmann,,,München : Süddt. Zeitung GmbH,2008,,299 S.; Notenbeisp.; 21 cm,,Deutsch,,Gesamttitel: Bibliothek / Süddeutsche Zeitung Bibliothek [97] [97],,Frau;Ich-Auflösung;Belletristische Darstellung,EC 5000,17.97 - Texte eines einzelnen Autors;18.10 - Deutsche Literatur,,ISBN: 9783866155473,,,,,,,,,,1878246-B NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC06822467,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21219625140003338&context=L&vid=ONB&lang=de_DE
,Malina,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ","Manucci, Maria Grazia [ÜbersetzerIn] ",Ingeborg Bachmann. [Trad. di Maria Grazia Manucci],,Malina,Milano : Adelphi Ed.,2003,,297 S.; 20 cm,,Italienisch,,Gesamttitel: Gli Adelphi 235,1. ed..,,,,,ISBN: 8845918149; ISBN: 9788845938283,"Anmerkungen:  Hier auch später erschienene, als Auflagen bezeichnete, unveränderte Nachdrucke (4. Auflage 2025) ",,,,,,,,,1774004-B NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC04481303,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21365424530003338&context=L&vid=ONB&lang=de_DE
,Rom,,"Bachmann, Ingeborg, 1926-1973 [MitwirkendeR] ",[Ingeborg Bachmann ...],,,Hamburg : Hoffmann u. Campe,1984,,"174 S.; zahlr. Ill., graph. Darst., Kt.",,Deutsch,,"Gesamttitel: Merian 37,12",,Rom;Bildband;Rom;Aufsatzsammlung,RO 50053;GN 2947,15.28 - Römisches Reich,,ISBN: 3455284124,Anmerkungen:  Literaturverz. S. 136 - 137 ,,,,,,,,,793323-C KAR MAG,,,,,,,,,http://data.onb.ac.at/rec/AC01229596,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma71499550300003338&context=L&vid=ONB&lang=de_DE
,Ingeborg Bachmann: Wer? : mit Therese Affolter ... ; 11. November 1995 ; [ein Abend im Burgtheater],,"Bachmann, Ingeborg, 1926-1973 [MitwirkendeR] ",,,,Wien : Burghteater Wien,1995,,19 ungezählte Blätter; Illustrationen; 33 cm,,Deutsch,,Ingeborg Bachmann: Wer?;Gesamttitel: Programmbuch / Burgtheater Wien 147 : Burgtheater,,,,,,,Anmerkungen:  Enth. außerdem e. Sammlung von Texten d. Autorin ,,,,,,,,,"1276787-C.147 THE MAG;1,276.787-B.Th THE",,,,,,,,,http://data.onb.ac.at/rec/AC01763166,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21340967460003338&context=L&vid=ONB&lang=de_DE
,Der Fall Franza;Weitere Titel:  Requiem für Fanny Goldmann / Ingeborg Bachmann,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ",,,,,München : Dt. Taschenbuch-Verl.,1988,,191 S.,,Deutsch,,Gesamttitel: Dtv 1705,"Ungekürzte Ausg., 7. Aufl..",Roman;Deutsch,,17.97 - Texte eines einzelnen Autors;18.10 - Deutsche Literatur,,ISBN: 3423017058,,,,,,,,,,1966265-B NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC08839760,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21330485760003338&context=L&vid=ONB&lang=de_DE
,Malina : Roman,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ",,Ingeborg Bachmann,,,Frankfurt am Main : Suhrkamp,2006,,408 S.; Notenbeisp.,,Deutsch,,,1. Aufl..,Roman,GN 2947,,,ISBN: 3518417703,,,,,,,,,,1808721-B NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC05346366,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21368227630003338&context=L&vid=ONB&lang=de_DE
,Sämtliche Erzählungen,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ",,Ingeborg Bachmann,,,München [u.a.] : Piper,2003,,487 S.; 19 cm,,Deutsch,,Gesamttitel: Serie Piper 3986,"Ungekürzte Taschenbuchausg., 2. Aufl..",Erzählung,GN 2947,,,ISBN: 3492239862,Anmerkungen:  Früher als : Serie Piper ; 2218 ,,,,,,,,,1721630-B NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC03942112,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21360086700003338&context=L&vid=ONB&lang=de_DE
,Sämtliche Erzählungen,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ",,Ingeborg Bachmann,,,Wien : Buchgemeinschaft Donauland [u.a.],[2006],,487 S.; 19 cm,,Deutsch,,,,Erzählung,,,,,,,,,,,,,,1812491-B NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC05603199,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21363582080003338&context=L&vid=ONB&lang=de_DE
,"Die Wahrheit ist dem Menschen zumutbar : Essays, Reden, kleinere Schriften","Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ",,Ingeborg Bachmann,,,München [u.a.] : Piper,2003,,187 S.; 19 cm,,Deutsch,,Gesamttitel: Serie Piper 3987,Ungek. Taschenbuchausg..,"Bachmann, Ingeborg, 1926-1973;Aufsatzsammlung",GN 2947;GN 2946,,,ISBN: 3492239870,Anmerkungen:  Früher als: Serie Piper ; 218 ,,,,,,,,,1721633-B NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC03934207,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21360088660003338&context=L&vid=ONB&lang=de_DE
,Meistererzählungen,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ",,Ingeborg Bachmann,,,Wien : Buchgemeinschaft Donauland,1974,,431 S.,,Deutsch,,,,,,,,,,,,,,,,,,1111157-B NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC04580128,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21218165130003338&context=L&vid=ONB&lang=de_DE
,Malina,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ","Błaut, Sławomir [ÜbersetzerIn] ",Ingeborg Bachmann. Przeł. Sławomir Błaut,,Malina,Warszawa : Czytelnik,1975,,427 S.; 16 cm,,Deutsch,,,Wyd. 1.,,,,,,,,,,,,,,,1128312-A NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC08193891,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21218161500003338&context=L&vid=ONB&lang=de_DE
,Sämtliche Erzählungen,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ",,Ingeborg Bachmann,,,München [u.a.] : Piper,1980,,486 S.; 21 cm,,Deutsch,,,Sonderausg..,,GN 2947,18.10 - Deutsche Literatur;17.97 - Texte eines einzelnen Autors,,ISBN: 3492025447,,,,,,,,,,1176327-B NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC02179103,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21218164720003338&context=L&vid=ONB&lang=de_DE
,Das dreißigste Jahr : Erzählungen,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ",,Ingeborg Bachmann,,,München : Piper,1961,,"243 Seiten; 20,5 cm",,Deutsch,,,,Fiktionale Darstellung,,,,,,,,,,,,,,938819-B NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC00024356,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21218162560003338&context=L&vid=ONB&lang=de_DE
,Sämtliche Erzählungen,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ",,Ingeborg Bachmann,,,München [u.a.] : Piper,1988,,486 S.,,Deutsch,,,"3. Aufl., 32.-36. Tsd..","Erzählung;Bachmann, Ingeborg, 1926-1973;Edition",GN 2946;GN 2947,17.81 - Epik. Prosa;18.08 - Deutsche Sprache und Literatur,,ISBN: 3492025447,,,,,,,,,,1924325-B HAN MAG,,,,,,,,,http://data.onb.ac.at/rec/AC08073651,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21274920180003338&context=L&vid=ONB&lang=de_DE
,Malina,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ","Loik, Helgi [ÜbersetzerIn] ",Ingeborg Bachmann. Saksa keelest tõlkinud Helgi Loik,,Malina,Tallinn : Eesti Raamat,1992,,255 S.,,Estnisch,,,,,,,,ISBN: 5450018223,,,,,,,,,,1382489-B NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC00577744,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21332288460003338&context=L&vid=ONB&lang=de_DE
,Malina : romaani,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ","Villa, Kyllikki [ÜbersetzerIn] ",Ingeborg Bachmann. Suomentanut ja jälkisanat kirjoittanut Kyllikki Villa,,Malina,Espoo : Weilin + Göös,1983,,292 S.; Notenbeisp.,,Finnisch,,,,,,,,ISBN: 9513524566,,,,,,,,,,1294374-B NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC01497937,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21339476110003338&context=L&vid=ONB&lang=de_DE
,"Die Wahrheit ist dem Menschen zumutbar : Essays, Reden, kleinere Schriften","Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ",,Ingeborg Bachmann,,,München : R. Piper & Co. Verlag,1981,,189 Seiten; 19 cm,,Deutsch,,Gesamttitel: Serie Piper 218,,,GN 2947,18.10 - Deutsche Literatur;17.97 - Texte eines einzelnen Autors,,ISBN: 3492005187,Anmerkungen:  Literaturverzeichnis Seite 171 - 187 ,,,,,,,,,1066899-B.218 NEU PER,,,,,,,,,http://data.onb.ac.at/rec/AC00877837,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21336586840003338&context=L&vid=ONB&lang=de_DE
,Fără delicatese,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ","Mureşanu, Ana [ÜbersetzerIn] ",Ingeborg Bachmann. In româneste de Ana Mureşanu,,,Bucureşti : Ed. Univers,1981,,167 S.,,Rumänisch,,,,,,,,,Aus dem Dt. übers.,,,,,,,,,1268158-B NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC01496268,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21339451630003338&context=L&vid=ONB&lang=de_DE
,Ingeborg Bachmann,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ","Tolosa, Nagore [ÜbersetzerIn] ",itzulpena: Nagore Tolosa,,,Zarautz : Susa,2015,,60 Seiten; 21 cm,,Baskisch,,Gesamttitel: Munduko poesia kaierak 10;Gesamttitel:  Susa literatura,,Anthologie ; Gedicht;Deutsch o;Baskisch ü,,17.97 - Texte eines einzelnen Autors;18.10 - Deutsche Literatur,,ISBN: 9788492468751,,,,,,,,,,2076882-B NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC13095948,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21298656540003338&context=L&vid=ONB&lang=de_DE
,Malina,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ","Estelrich, Pilar [ÜbersetzerIn] ",Ingeborg Bachmann. Trad. de Pilar Estelrich,,Malina,Barcelona : Edicions 62,2002,,333 S.,,Spanisch,,Gesamttitel: Les millors obres de la literatura universal 143 : segle XX,1. ed..,,,,,ISBN: 8429751548,,,,,,,,,,1327705-B.143 NEU PER,,,,,,,,,http://data.onb.ac.at/rec/AC03707068,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21357563970003338&context=L&vid=ONB&lang=de_DE
,Tarānahā-i dar gurīz : barguzīda-i ašʿār,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ",,Īngbūrg Bāẖman. Tarǧuma-i: Māndānā Muqaddam,,,Tihrān : Intišārāt-i Ārwīǧ,1381 h. [2002],,"88 S,; 19 cm",,Persisch,,Gesamttitel: Šiʿr-i muʿāṣir-i ǧahān 2,Čāp-i 1..,,,,,ISBN: 9647174616,In arab. Schr.,,,,,,,,,NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC04501985,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21365628210003338&context=L&vid=ONB&lang=de_DE
